NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-08-31%2018:39:25;FII CSHG LOG (HGLG) Fato Relevante - 31/08/2023;2320480;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=515896
18;;2023-08-31%2017:32:23;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/08/2023(N);2320186;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=515628
18;;2023-08-31%2017:11:09;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/08/2023;2319972;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=515628
18;;2023-08-17%2018:23:38;FII CSHG LOG (HGLG) Laudo Avaliacao - Conclusao Negocio - 24/05/2023;2307873;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=510480
18;;2023-08-17%2018:22:14;FII CSHG LOG (HGLG) Laudo Avaliacao - Conclusao Negocio - 24/05/2023;2307872;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=510479
18;;2023-08-17%2018:20:03;FII CSHG LOG (HGLG) Laudo Avaliacao - Conclusao Negocio - 24/05/2023;2307868;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=510476
18;;2023-08-17%2018:18:32;FII CSHG LOG (HGLG) Laudo Avaliacao - Conclusao Negocio - 24/05/2023;2307865;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=510474
18;;2023-08-15%2019:54:44;FII CSHG LOG (HGLG) Informe Mensal - 07/2023;2304598;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=509321
18;;2023-08-14%2018:40:54;FII CSHG LOG (HGLG) Informe Trimestral - 30/06/2023;2302247;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=507533
18;;2023-08-11%2019:36:31;FII CSHG LOG (HGLG) Fato Relevante - 11/08/2023;2300359;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505901
18;;2023-08-10%2008:15:08;FII CSHG LOG (HGLG) Relatorio Gerencial - 31/07/2023;2297007;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=504064
18;;2023-08-07%2019:35:27;FII CSHG LOG (HGLG) Outros Comunicados ao Mercado - 07/08/2023;2293858;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=502387
18;;2023-08-04%2019:13:12;FII CSHG LOG (HGLG) Outros Comunicados ao Mercado - 04/08/2023;2292477;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=501331
18;;2023-08-04%2019:11:50;FII CSHG LOG (HGLG) Regulamento - 04/08/2023;2292474;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=501330
18;;2023-08-04%2019:10:33;FII CSHG LOG (HGLG) Instrumento Part. Alteracao Regulamento - 04/08/2023;2292472;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=501328
