NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-05-29%2015:28:54;FIAGRO SUNO (SNAG) Outros Relatorios - 29/05/2023;2221305;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=470548
18;;2023-05-16%2016:09:14;FIAGRO SUNO (SNAG) Informe Mensal - 04/2023 (R);2208330;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465828
18;;2023-05-15%2018:06:47;FIAGRO SUNO (SNAG) Informe Trimestral - 31/03/2023;2206099;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=464293
18;;2023-05-15%2018:05:32;FIAGRO SUNO (SNAG) Informe Mensal - 04/2023;2206095;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=464289
18;;2023-05-11%2016:36:11;FIAGRO SUNO (SNAG) Outros Relatorios - 11/05/2023;2201208;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=460551
18;;2023-05-08%2018:02:54;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 08/05/2023(N);2196509;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457840
18;;2023-05-08%2018:02:53;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 08/05/2023(N);2196508;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457840
18;;2023-05-08%2018:02:24;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 08/05/2023(N);2196499;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457840
18;;2023-05-08%2017:43:42;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 08/05/2023;2196444;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457840
18;;2023-05-03%2017:20:27;FIAGRO SUNO (SNAG) AGO - Ata da Assembleia - 03/05/2023 17:18;2190179;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=455622
