NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-05-26%2018:46:03;FII XP MALLS (XPML) Aviso de Modificacao de Oferta - 26/05/2023(N);2220467;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=470248
18;;2023-05-26%2018:26:25;FII XP MALLS (XPML) Aviso de Modificacao de Oferta - 26/05/2023;2220435;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=470248
18;;2023-05-26%2011:51:27;FII XP MALLS (XPML) Fato Relevante - 22/05/2023 (R)(N);2219713;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=469705
18;;2023-05-26%2009:35:54;FII XP MALLS (XPML) Inst. Particular de Emissao de Cotas - 22/05/2023 (R);2219386;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=469707
18;;2023-05-26%2009:34:23;FII XP MALLS (XPML) Fato Relevante - 22/05/2023 (R);2219383;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=469705
18;;2023-05-26%2009:12:35;FII XP MALLS (XPML) Formulario de Subscricao de Cotas - 25/05/2023 (R);2219368;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=469702
18;;2023-05-25%2014:19:58;FII XP MALLS (XPML) Formulario de Subscricao de Cotas - 25/05/2023;2218356;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=469304
18;;2023-05-23%2009:58:25;FII XP MALLS (XPML) Inst. Particular de Emissao de Cotas - 22/05/2023(N);2215295;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467848
18;;2023-05-23%2009:51:15;FII XP MALLS (XPML) Fato Relevante - 22/05/2023(N);2215266;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467849
18;;2023-05-22%2021:15:02;FII XP MALLS (XPML) Anúncio de Início Distribuição Cotas - 22/05/2023;2215054;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467850
18;;2023-05-22%2021:15:02;FII XP MALLS (XPML) Fato Relevante - 22/05/2023;2215053;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467849
18;;2023-05-22%2021:15:02;FII XP MALLS (XPML) Inst. Particular de Emissão de Cotas - 22/05/2023;2215052;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467848
18;;2023-05-19%2018:01:10;FII XP MALLS (XPML) Outros Relatorios - 19/05/2023;2213359;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467371
18;;2023-05-19%2008:14:21;FII XP MALLS (XPML) Informe Mensal - 04/2023 (R);2212245;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=467027
18;;2023-05-18%2017:59:00;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/05/2023(N);2211914;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=466928
18;;2023-05-18%2017:57:51;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/05/2023;2211913;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=466928
18;;2023-05-15%2021:22:48;FII XP MALLS (XPML) Informe Mensal - 04/2023;2206506;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465111
18;;2023-05-11%2021:22:41;FII XP MALLS (XPML) Informe Trimestral - 31/03/2023;2201672;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=461015
18;;2023-05-08%2018:13:12;FII XP MALLS (XPML) Relatorio Gerencial - 28/04/2023;2196535;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457892
